time/s	<Ewe/V>	I/mA	
4.926243286474419E+003	2.9107397E+000	9.6483818E+001
4.926343286473202E+003	2.9108851E+000	9.6515648E+001
4.926443286472000E+003	2.9107549E+000	9.6502914E+001
4.926543286470784E+003	2.9120307E+000	9.6490181E+001
4.926643286469567E+003	2.9090552E+000	9.6528389E+001
4.926743286468365E+003	2.9092071E+000	9.6528389E+001
4.926843286467149E+003	2.9104502E+000	9.6483818E+001
4.926943286465947E+003	2.9099760E+000	9.6483818E+001
4.927043286464730E+003	2.9097497E+000	9.6413788E+001
4.927143286463514E+003	2.9094248E+000	9.6496544E+001
4.927243286462312E+003	2.9082088E+000	9.6471085E+001
4.927343286461095E+003	2.9095879E+000	9.6509285E+001
4.927443286459893E+003	2.9096391E+000	9.6426514E+001
4.927543286458676E+003	2.9088709E+000	9.6509285E+001
4.927643286457460E+003	2.9094496E+000	9.6439247E+001
4.927743286456258E+003	2.9089172E+000	9.6464714E+001
4.927843286455041E+003	2.9091451E+000	9.6502914E+001
4.927943286453839E+003	2.9119558E+000	9.6515648E+001
4.928043286452623E+003	2.9115911E+000	9.6477440E+001
4.928143286451406E+003	2.9124658E+000	9.6490181E+001
4.928243286450204E+003	2.9139862E+000	9.6502914E+001
4.928343286448988E+003	2.9130294E+000	9.6490181E+001
4.928443286447786E+003	2.9126112E+000	9.6483818E+001
4.928543286446569E+003	2.9112988E+000	9.6464714E+001
4.928643286445353E+003	2.9109752E+000	9.6490181E+001
4.928743286444151E+003	2.9107816E+000	9.6471085E+001
4.928843286442934E+003	2.9108951E+000	9.6547485E+001
4.928943286441732E+003	2.9072256E+000	9.6451988E+001
4.929043286440516E+003	2.9130535E+000	9.6458351E+001
4.929143286439299E+003	2.9102561E+000	9.6471085E+001
4.929243286438097E+003	2.9123199E+000	9.6439247E+001
4.929343286436881E+003	2.9097941E+000	9.6490181E+001
4.929443286435679E+003	2.9125984E+000	9.6420143E+001
4.929543286434462E+003	2.9115999E+000	9.6445610E+001
4.929643286433246E+003	2.9163203E+000	9.6439247E+001
4.929743286432044E+003	2.9143584E+000	9.6477440E+001
4.929843286430827E+003	2.9106653E+000	9.6451988E+001
4.929943286429625E+003	2.9112265E+000	9.6528389E+001
4.930043286428408E+003	2.9124792E+000	9.6528389E+001
4.930143286427192E+003	2.9114718E+000	9.6515648E+001
4.930243286425990E+003	2.9123385E+000	9.6464714E+001
4.930343286424773E+003	2.9134209E+000	9.6471085E+001
4.930443286423571E+003	2.9114869E+000	9.6477440E+001
4.930543286422355E+003	2.9103389E+000	9.6522011E+001
4.930643286421138E+003	2.9109609E+000	9.6420143E+001
4.930743286419936E+003	2.9120677E+000	9.6477440E+001
4.930843286418720E+003	2.9107935E+000	9.6451988E+001
4.930943286417518E+003	2.9133234E+000	9.6515648E+001
4.931043286416301E+003	2.9135232E+000	9.6528389E+001
4.931143286415085E+003	2.9126110E+000	9.6439247E+001
4.931243286413883E+003	2.9125805E+000	9.6458351E+001
4.931343286412666E+003	2.9139051E+000	9.6458351E+001
4.931443286411464E+003	2.9136844E+000	9.6407417E+001
4.931543286410248E+003	2.9138582E+000	9.6509285E+001
4.931643286409031E+003	2.9131665E+000	9.6464714E+001
4.931743286407829E+003	2.9135585E+000	9.6496544E+001
4.931843286406613E+003	2.9122565E+000	9.6566582E+001
4.931943286405411E+003	2.9112635E+000	9.6502914E+001
4.932043286404194E+003	2.9100459E+000	9.6477440E+001
4.932143286402978E+003	2.9137158E+000	9.6490181E+001
4.932243286401776E+003	2.9138989E+000	9.6502914E+001
4.932343286400559E+003	2.9102087E+000	9.6477440E+001
4.932443286399357E+003	2.9092069E+000	9.6515648E+001
4.932543286398140E+003	2.9091482E+000	9.6509285E+001
4.932643286396924E+003	2.9095919E+000	9.6426514E+001
4.932743286395722E+003	2.9104428E+000	9.6483818E+001
4.932843286394505E+003	2.9108520E+000	9.6502914E+001
4.932943286393303E+003	2.9096229E+000	9.6541115E+001
4.933043286392087E+003	2.9116948E+000	9.6445610E+001
4.933143286390870E+003	2.9104173E+000	9.6490181E+001
4.933243286389668E+003	2.9099813E+000	9.6490181E+001
4.933343286388452E+003	2.9094899E+000	9.6471085E+001
4.933443286387250E+003	2.9103096E+000	9.6477440E+001
4.933543286386033E+003	2.9105051E+000	9.6464714E+001
4.933643286384817E+003	2.9096904E+000	9.6432884E+001
4.933743286383615E+003	2.9137359E+000	9.6509285E+001
4.933843286382398E+003	2.9127886E+000	9.6534744E+001
4.933943286381196E+003	2.9129090E+000	9.6522011E+001
4.934043286379980E+003	2.9139514E+000	9.6426514E+001
4.934143286378763E+003	2.9096608E+000	9.6477440E+001
4.934243286377561E+003	2.9117093E+000	9.6439247E+001
4.934343286376345E+003	2.9080241E+000	9.6490181E+001
4.934443286375143E+003	2.9090898E+000	9.6496544E+001
4.934543286373926E+003	2.9097309E+000	9.6451988E+001
4.934643286372710E+003	2.9101667E+000	9.6458351E+001
4.934743286371508E+003	2.9103134E+000	9.6509285E+001
4.934843286370291E+003	2.9102745E+000	9.6483818E+001
4.934943286369089E+003	2.9107935E+000	9.6502914E+001
4.935043286367873E+003	2.9098461E+000	9.6471085E+001
4.935143286366656E+003	2.9095554E+000	9.6496544E+001
4.935243286365454E+003	2.9080851E+000	9.6464714E+001
4.935343286364237E+003	2.9087751E+000	9.6560219E+001
4.935443286363035E+003	2.9102800E+000	9.6458351E+001
4.935543286361819E+003	2.9089234E+000	9.6502914E+001
4.935643286360602E+003	2.9092715E+000	9.6477440E+001
4.935743286359400E+003	2.9110527E+000	9.6471085E+001
4.935843286358184E+003	2.9123924E+000	9.6477440E+001
4.935943286356982E+003	2.9117770E+000	9.6490181E+001
4.936043286355765E+003	2.9111180E+000	9.6458351E+001
4.936143286354549E+003	2.9106927E+000	9.6515648E+001
4.936243286353347E+003	2.9091241E+000	9.6515648E+001
4.936343286352130E+003	2.9099507E+000	9.6413788E+001
4.936443286350928E+003	2.9109373E+000	9.6534744E+001
4.936543286349712E+003	2.9125607E+000	9.6413788E+001
4.936643286348495E+003	2.9099464E+000	9.6509285E+001
4.936743286347293E+003	2.9087658E+000	9.6502914E+001
4.936843286346077E+003	2.9086316E+000	9.6534744E+001
4.936943286344875E+003	2.9090664E+000	9.6515648E+001
4.937043286343658E+003	2.9086354E+000	9.6458351E+001
4.937143286342442E+003	2.9079936E+000	9.6483818E+001
4.937243286341240E+003	2.9081931E+000	9.6534744E+001
4.937343286340023E+003	2.9093208E+000	9.6477440E+001
4.937443286338821E+003	2.9103599E+000	9.6471085E+001
4.937543286337605E+003	2.9072993E+000	9.6451988E+001
4.937643286336388E+003	2.9072793E+000	9.6585686E+001
4.937743286335186E+003	2.9076574E+000	9.6515648E+001
4.937843286333969E+003	2.9073036E+000	9.6439247E+001
4.937943286332767E+003	2.9081786E+000	9.6426514E+001
4.938043286331551E+003	2.9074495E+000	9.6451988E+001
4.938143286330334E+003	2.9073081E+000	9.6477440E+001
4.938243286329132E+003	2.9074957E+000	9.6477440E+001
4.938343286327916E+003	2.9099946E+000	9.6483818E+001
4.938443286326714E+003	2.9088383E+000	9.6458351E+001
4.938543286325497E+003	2.9090481E+000	9.6509285E+001
4.938643286324281E+003	2.9089863E+000	9.6522011E+001
4.938743286323079E+003	2.9086206E+000	9.6401039E+001
4.938843286321862E+003	2.9097109E+000	9.6528389E+001
4.938943286320660E+003	2.9103553E+000	9.6547485E+001
4.939043286319444E+003	2.9085369E+000	9.6509285E+001
